bin,position,mean,sem,genotype,region,group,n_regions
29,-582.2784810126582,11.756232355938945,0.8282291113004865,FANCJKO,5UTR,hybrid,728
30,-531.6455696202531,12.424705682701461,0.8799135597159543,FANCJKO,5UTR,hybrid,728
31,-481.0126582278481,13.009138595016449,0.9240617024742311,FANCJKO,5UTR,hybrid,728
32,-430.37974683544303,13.489275818153834,0.9252904848998468,FANCJKO,5UTR,hybrid,728
33,-379.746835443038,14.285165808572001,0.9453176009067388,FANCJKO,5UTR,hybrid,728
34,-329.11392405063293,15.257301369380384,0.98675480734560606,FANCJKO,5UTR,hybrid,728
35,-278.4810126582279,16.05579515228123,1.006195646216911,FANCJKO,5UTR,hybrid,728
36,-227.84810126582283,16.82398749104131,1.0128075213968317,FANCJKO,5UTR,hybrid,728
37,-177.21518987341778,17.61611177504172,1.0839955432522121,FANCJKO,5UTR,hybrid,728
38,-126.58227848101274,18.20582811495105,1.142827223021909,FANCJKO,5UTR,hybrid,728
39,-75.94936708860769,18.164507153740516,1.1191377785417838,FANCJKO,5UTR,hybrid,728
40,-25.316455696202638,17.871031386970163,1.0908791526945656,FANCJKO,5UTR,hybrid,728
41,25.31645569620241,17.135787650451554,1.0182025607200895,FANCJKO,5UTR,hybrid,728
42,75.94936708860769,16.320655182877303,0.9750280167161349,FANCJKO,5UTR,hybrid,728
43,126.58227848101251,15.441670393392497,0.9271871713819307,FANCJKO,5UTR,hybrid,728
44,177.21518987341778,14.755415206181478,0.905307748064291,FANCJKO,5UTR,hybrid,728
45,227.8481012658226,14.082124040216316,0.905007895045093,FANCJKO,5UTR,hybrid,728
46,278.4810126582279,13.395655148542408,0.8981659970003883,FANCJKO,5UTR,hybrid,728
47,329.1139240506327,12.749505835666762,0.84468531125251,FANCJKO,5UTR,hybrid,728
48,379.746835443038,12.040038042601212,0.7695768767784864,FANCJKO,5UTR,hybrid,728
49,430.37974683544326,11.443674725227522,0.7346427113274068,FANCJKO,5UTR,hybrid,728
50,481.0126582278481,10.833655327798683,0.7336870701010446,FANCJKO,5UTR,hybrid,728
51,531.6455696202534,10.185182534756459,0.7500941510739653,FANCJKO,5UTR,hybrid,728
52,582.2784810126582,9.581226652210011,0.7364329265701199,FANCJKO,5UTR,hybrid,728
53,632.9113924050635,9.150218035263238,0.7814416269447793,FANCJKO,5UTR,hybrid,728
54,683.5443037974683,8.652054044190562,0.8070409117219131,FANCJKO,5UTR,hybrid,728
55,734.1772151898736,8.224140283585468,0.8106229745589031,FANCJKO,5UTR,hybrid,728
56,784.8101265822784,7.85507723234512,0.7884313980930001,FANCJKO,5UTR,hybrid,728
57,835.4430379746836,7.563744292083459,0.7451916213306237,FANCJKO,5UTR,hybrid,728
