genotype,stratify_by,signal,quartile,position,mean,sem,n
WT,G4_quartile,S9.6 (R-loop),Q1,-909.0909090909092,0.5513390306208077,0.02408120839052229,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-868.6868686868688,0.5574419434114112,0.02434465885012092,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-828.2828282828284,0.57214587339468,0.025208840088745042,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-787.878787878788,0.5656701651075727,0.02499366882945568,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-747.4747474747476,0.5766796514082185,0.027003891471838917,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-707.0707070707072,0.5889314031628674,0.028027563059633446,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-666.6666666666667,0.5834515016017345,0.0264921074769905,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-626.2626262626263,0.5702686082189689,0.025550699585688934,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-585.8585858585859,0.5745639988584453,0.024991233607071152,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-545.4545454545455,0.5659068059709064,0.024145336808631485,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-505.0505050505051,0.547898524986602,0.02411184747705789,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-464.64646464646466,0.5339096546154718,0.023690593323084548,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-424.24242424242425,0.5284453873787895,0.023875234366204284,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-383.83838383838383,0.5263928416883878,0.024410297370412223,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-343.43434343434365,0.5188586631918813,0.02423045637239009,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-303.03030303030323,0.5399594091400346,0.024133714700668774,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-262.6262626262628,0.5690501753630521,0.024456226005615617,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-222.2222222222224,0.5736921186003985,0.024365269762980743,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-181.81818181818198,0.5691181832763376,0.024428676932595716,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-141.41414141414157,0.5634378921319431,0.024437908056631104,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-101.01010101010115,0.5464445322943783,0.02409264874112371,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-60.60606060606074,0.533882283178935,0.023499044237092596,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-20.20202020202032,0.5464329005545435,0.02396569027660573,6117
WT,G4_quartile,S9.6 (R-loop),Q1,20.202020202020094,0.5603241211930323,0.024285479717403587,6117
WT,G4_quartile,S9.6 (R-loop),Q1,60.60606060606051,0.5606225441676882,0.02406263700838953,6117
WT,G4_quartile,S9.6 (R-loop),Q1,101.0101010101007,0.54622169837132994,0.023704422333845412,6117
WT,G4_quartile,S9.6 (R-loop),Q1,141.41414141414134,0.5538828874816715,0.023421395922754506,6117
WT,G4_quartile,S9.6 (R-loop),Q1,181.81818181818153,0.5645520820816207,0.023952350715050225,6117
WT,G4_quartile,S9.6 (R-loop),Q1,222.22222222222217,0.5712414619919777,0.024037757807294044,6117
WT,G4_quartile,S9.6 (R-loop),Q1,262.62626262626236,0.5817132247803499,0.02412533686058052,6117
