ko,dz_class,genotype,bin,position,mean,sem,n
FANCJKO,gained,WT,9,-1594.9367088607596,2.3384522484597707,0.8781818604364209,7
FANCJKO,gained,WT,10,-1544.3037974683543,2.4125933987753734,0.7865155359852458,7
FANCJKO,gained,WT,11,-1493.6708860759495,2.2398437753177824,0.7479323714918118,7
FANCJKO,gained,WT,12,-1443.0379746835442,1.7447574269203912,0.6953727958376796,7
FANCJKO,gained,WT,13,-1392.4050632911392,2.1665339679945084,0.8289471486534701,7
FANCJKO,gained,WT,14,-1341.7721518987341,2.319083262171064,0.8632384482925105,7
FANCJKO,gained,WT,15,-1291.139240506329,2.2747302693412417,0.8189958921166305,7
FANCJKO,gained,WT,16,-1240.506329113924,2.420325509707133,0.8026774754912015,7
FANCJKO,gained,WT,17,-1189.873417721519,2.3756085149447124,0.7552565337514737,7
FANCJKO,gained,WT,18,-1139.240506329114,2.547869758038294,0.8893566906783639,7
FANCJKO,gained,WT,19,-1088.607594936709,2.319403328782036,0.8540842315711429,7
FANCJKO,gained,WT,20,-1037.9746835443038,2.007271839664096,0.9065422801650292,7
FANCJKO,gained,WT,21,-987.3417721518988,1.9906989784467788,0.9978190283362087,7
FANCJKO,gained,WT,22,-936.7088607594937,2.5786107885269893,1.1742342419817473,7
FANCJKO,gained,WT,23,-886.0759493670887,2.803784971691313,1.2304382840322732,7
FANCJKO,gained,WT,24,-835.4430379746836,3.0761859872227624,1.2069909323733279,7
FANCJKO,gained,WT,25,-784.8101265822784,3.465125174068269,1.7345823340467676,7
FANCJKO,gained,WT,26,-734.1772151898733,3.9649557531447637,2.2015085439637705,7
FANCJKO,gained,WT,27,-683.5443037974683,4.419614890984127,2.3814099816803456,7
FANCJKO,gained,WT,28,-632.9113924050632,4.81329256046386,2.738592862799424,7
FANCJKO,gained,WT,29,-582.2784810126582,5.288602299690247,3.257067924000192,7
FANCJKO,gained,WT,30,-531.6455696202531,5.307590524469103,3.505295061007105,7
FANCJKO,gained,WT,31,-481.0126582278481,4.767449852966127,3.587937957587973,7
FANCJKO,gained,WT,32,-430.37974683544303,4.5693707496779306,3.237440585093069,7
FANCJKO,gained,WT,33,-379.746835443038,5.146681925342197,3.2818088789511526,7
FANCJKO,gained,WT,34,-329.11392405063293,4.747215899967012,2.7781784705798933,7
FANCJKO,gained,WT,35,-278.4810126582279,4.357442440532503,2.3531007238578243,7
FANCJKO,gained,WT,36,-227.84810126582283,4.21586739108676,2.10516448384297,7
FANCJKO,gained,WT,37,-177.21518987341778,3.8783382477079122,1.540233193305967,7
FANCJKO,gained,WT,38,-126.58227848101274,3.5010025923592702,1.1942506888867985,7
FANCJKO,gained,WT,39,-75.94936708860769,3.200032306058066,1.1799219689303324,7
FANCJKO,gained,WT,40,-25.316455696202638,3.319387072495052,1.0354746542601148,7
FANCJKO,gained,WT,41,25.31645569620241,2.9354740814935596,1.181297670197159,7
FANCJKO,gained,WT,42,75.94936708860769,3.2925880660329545,1.548537977116976,7
FANCJKO,gained,WT,43,126.58227848101251,3.3896980913480124,1.6674616831091076,7
FANCJKO,gained,WT,44,177.21518987341778,3.50529358114515,1.6265622121069891,7
FANCJKO,gained,WT,45,227.8481012658226,3.4292312476748514,1.6506810777286751,7
FANCJKO,gained,WT,46,278.4810126582279,3.6642305957703365,2.014238394048837,7
FANCJKO,gained,WT,47,329.1139240506327,3.6339680664879936,2.26953089262762,7
FANCJKO,gained,WT,48,379.746835443038,4.002480250426701,2.6831797840413696,7
FANCJKO,gained,WT,49,430.37974683544326,4.070631546406519,2.796841332961597,7
FANCJKO,gained,WT,50,481.0126582278481,3.6891882018815902,2.465415072396704,7
FANCJKO,gained,WT,51,531.6455696202534,3.366358075936635,2.234136401755488,7
FANCJKO,gained,WT,52,582.2784810126582,3.4761041744550067,2.2633987510627085,7
FANCJKO,gained,WT,53,632.9113924050635,4.084195046651931,2.348871371080599,7
FANCJKO,gained,WT,54,683.5443037974683,4.201124810831887,2.3143022672515214,7
FANCJKO,gained,WT,55,734.1772151898736,4.0975261641684035,2.206533349376996,7
FANCJKO,gained,WT,56,784.8101265822784,4.04083201998756,2.0434168729653432,7
FANCJKO,gained,WT,57,835.4430379746836,3.5106481784865973,1.7070362066921336,7
FANCJKO,gained,WT,58,886.0759493670885,2.7847592947596596,1.4120103079380595,7
FANCJKO,gained,WT,59,936.7088607594937,2.204883672396342,1.02672991244207,7
FANCJKO,gained,WT,60,987.3417721518986,2.0369238836424692,0.8492439548718851,7
FANCJKO,gained,WT,61,1037.9746835443038,1.9147674548058282,0.7315884613463258,7
FANCJKO,gained,WT,62,1088.6075949367087,1.787173682394482,0.7187691524505501,7
FANCJKO,gained,WT,63,1139.240506329114,1.7516540495554604,0.7636996758375046,7
FANCJKO,gained,WT,64,1189.8734177215188,1.684587956950778,0.6563993911131769,7
FANCJKO,gained,WT,65,1240.506329113924,1.5628778287342615,0.579739558357118,7
FANCJKO,gained,WT,66,1291.1392405063293,2.1058067342213223,0.7547796798755899,7
FANCJKO,gained,WT,67,1341.7721518987341,2.3483240503356573,0.9597228182845575,7
FANCJKO,gained,WT,68,1392.4050632911394,2.1896689637502034,1.001938983095872,7
FANCJKO,gained,WT,69,1443.0379746835442,2.068463270323617,1.0062318405749258,7
FANCJKO,gained,WT,70,1493.6708860759495,1.6216085537274678,0.8962041698019131,7
FANCJKO,gained,WT,71,1544.3037974683543,1.696248053369068,0.9362832772376216,7
FANCJKO,gained,WT,72,1594.9367088607596,1.9918713536716641,1.1854390115365385,7
FANCJKO,gained,WT,73,1645.5696202531644,2.3176534223556517,1.7302207303030337,7
FANCJKO,gained,WT,74,1696.2025316455697,3.179355742817833,2.4917852682885098,7
FANCJKO,gained,WT,75,1746.8354430379745,3.8240923375175115,3.0524723765329007,7
FANCJKO,gained,WT,76,1797.4683544303798,5.360080609889258,4.6081148455274725,7
FANCJKO,gained,WT,77,1848.1012658227846,6.361980322656177,5.742418399274441,7
FANCJKO,gained,WT,78,1898.73417721519,6.361510720707121,5.394880034256812,7
FANCJKO,gained,WT,79,1949.3670886075947,5.989878236906869,4.500949030795976,7
FANCJKO,gained,WT,80,2000,5.091020056974321,3.508603052089997,7
