bin,position,mean,sem,genotype,feature,n_regions
67,1341.7721518987341,2.2561174602388956,0.0432374797323329,WT,enhancer,16000
68,1392.4050632911394,2.2536341940456257,0.04286237430782672,WT,enhancer,16000
69,1443.0379746835442,2.2474165481265715,0.04332386941440993,WT,enhancer,16000
70,1493.6708860759495,2.2450531383804044,0.04482938885223376,WT,enhancer,16000
71,1544.3037974683543,2.255919091254016,0.04658931596947784,WT,enhancer,16000
72,1594.9367088607596,2.255976747807407,0.047558503836941,WT,enhancer,16000
73,1645.5696202531644,2.2724913078454696,0.04809962987507702,WT,enhancer,16000
74,1696.2025316455697,2.275586206520576,0.04738856786828714,WT,enhancer,16000
75,1746.8354430379745,2.265267205532246,0.047184002893249456,WT,enhancer,16000
76,1797.4683544303798,2.2428637172557635,0.04744714367217173,WT,enhancer,16000
77,1848.1012658227846,2.2493260787975635,0.04736872553387636,WT,enhancer,16000
78,1898.73417721519,2.254014267290993,0.04686197953544182,WT,enhancer,16000
79,1949.3670886075947,2.2620476373734557,0.04723127792197457,WT,enhancer,16000
80,2000,2.250661609013915,0.046740798557304536,WT,enhancer,16000
1,-2000,1.9991670297106796,0.05466485738333884,WT,lncRNA,9405
2,-1949.367088607595,2.0106036328136376,0.053710692731085544,WT,lncRNA,9405
3,-1898.73417721519,2.0103619991810087,0.051377136608679846,WT,lncRNA,9405
4,-1848.1012658227849,2.017490949144971,0.04965793295753998,WT,lncRNA,9405
5,-1797.4683544303798,2.019891552728774,0.049174023102336775,WT,lncRNA,9405
6,-1746.8354430379748,2.028295522944007,0.04898320113281178,WT,lncRNA,9405
7,-1696.2025316455697,2.0320893646359557,0.0490835536381655,WT,lncRNA,9405
8,-1645.5696202531644,2.023822108060412,0.049142074703696276,WT,lncRNA,9405
9,-1594.9367088607596,2.019496212243552,0.04958799054180305,WT,lncRNA,9405
10,-1544.3037974683543,2.011715014298368,0.049987117949431704,WT,lncRNA,9405
11,-1493.6708860759495,1.997054842181141,0.05091714328529055,WT,lncRNA,9405
12,-1443.0379746835442,1.9941000413344203,0.0514626529797556,WT,lncRNA,9405
13,-1392.4050632911392,1.9920665675549447,0.051524598235490465,WT,lncRNA,9405
14,-1341.7721518987341,1.9912264943261533,0.050983813858421996,WT,lncRNA,9405
15,-1291.139240506329,2.0064472073211936,0.05105180027520392,WT,lncRNA,9405
16,-1240.506329113924,2.0188280444942213,0.05096747940404113,WT,lncRNA,9405
17,-1189.873417721519,2.016787840375225,0.05056163117199592,WT,lncRNA,9405
18,-1139.240506329114,2.0009264378377374,0.05021750994413892,WT,lncRNA,9405
19,-1088.607594936709,1.9876938625711555,0.0498063077024027,WT,lncRNA,9405
20,-1037.9746835443038,1.9764129492931046,0.049291557087038966,WT,lncRNA,9405
21,-987.3417721518988,1.9717186621973293,0.049256297184067065,WT,lncRNA,9405
22,-936.7088607594937,1.969318462285851,0.04820871686729802,WT,lncRNA,9405
23,-886.0759493670887,1.9590227347377953,0.046536642738629265,WT,lncRNA,9405
24,-835.4430379746836,1.958976229267027,0.04667650512993128,WT,lncRNA,9405
25,-784.8101265822784,1.9656241726347685,0.04637445620009017,WT,lncRNA,9405
26,-734.1772151898733,1.9714193667387012,0.047186904240884016,WT,lncRNA,9405
27,-683.5443037974683,2.011687495633635,0.050801978636926294,WT,lncRNA,9405
28,-632.9113924050632,2.0455365772470033,0.053398214574739575,WT,lncRNA,9405
29,-582.2784810126582,2.07240928345565,0.054096988342362456,WT,lncRNA,9405
30,-531.6455696202531,2.0891524196221534,0.053925405210729124,WT,lncRNA,9405
31,-481.0126582278481,2.0993552667944044,0.054785209547601875,WT,lncRNA,9405
32,-430.37974683544303,2.1174070124293523,0.057587571634523424,WT,lncRNA,9405
33,-379.746835443038,2.131093769852403,0.060471072385474486,WT,lncRNA,9405
34,-329.11392405063293,2.1535374440977573,0.06372072768182432,WT,lncRNA,9405
35,-278.4810126582279,2.1939917923400736,0.06953190231186486,WT,lncRNA,9405
