bin,position,mean,sem,unit,ko,signal_geno,topology,direction,n_5utr,column
49,430.37974683544326,7.838534239911371,0.7238518760147625,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
50,481.0126582278481,7.157837349230217,0.6230904182073067,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
51,531.6455696202534,6.937057863068249,0.5702800468203668,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
52,582.2784810126582,6.876514450795948,0.5920948765014719,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
53,632.9113924050635,6.742264816727904,0.6287220073280785,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
54,683.5443037974683,6.648685273697807,0.6719259379690168,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
55,734.1772151898736,6.536821109549039,0.7211623232260582,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
56,784.8101265822784,6.433064130474296,0.7642188994250185,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
57,835.4430379746836,6.301671404259072,0.7927123088541419,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
58,886.0759493670885,6.221019826858408,0.7901594182057422,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
59,936.7088607594937,5.774949808977544,0.684953982411011,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
60,987.3417721518986,5.438329074647691,0.6006344014711492,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
61,1037.9746835443038,5.192642583077153,0.5539070075559376,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
62,1088.6075949367087,4.9439493443402975,0.49330440476504483,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
63,1139.240506329114,4.779759211635424,0.47686791547708995,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
64,1189.8734177215188,4.630203089209067,0.4479468547272762,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
65,1240.506329113924,4.363522353172303,0.4144067227977136,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
66,1291.1392405063293,4.242635172361301,0.41514845951519763,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
67,1341.7721518987341,4.011759442277253,0.4561022762468826,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
68,1392.4050632911394,3.822011201903224,0.4603361406017632,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
69,1443.0379746835442,3.7669968356895778,0.44747324431863317,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
70,1493.6708860759495,3.7335503750211663,0.4272011869301231,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
