bin,position,mean,sem,genotype,group
72,1594.9367088607596,1.5935448637057754,0.01480167444174674,DHX36KO,none
73,1645.5696202531644,1.5972315419315424,0.014855527915255053,DHX36KO,none
74,1696.2025316455697,1.5972011399607378,0.014846694963365553,DHX36KO,none
75,1746.8354430379745,1.5954547929374834,0.014701154387097067,DHX36KO,none
76,1797.4683544303798,1.5932295064904272,0.014641424813291823,DHX36KO,none
77,1848.1012658227846,1.5896800314272705,0.014466514143749831,DHX36KO,none
78,1898.73417721519,1.5943578589386997,0.014441472212189098,DHX36KO,none
79,1949.3670886075947,1.6091522721377771,0.014626091769932213,DHX36KO,none
80,2000,1.6303236879994034,0.014925144656144865,DHX36KO,none
1,-2000,4.803569525137466,0.11239468574170342,FANCJKO,parallel
2,-1949.367088607595,4.811879346542772,0.11131059730651144,FANCJKO,parallel
3,-1898.73417721519,4.8177953322136595,0.10911912756112843,FANCJKO,parallel
4,-1848.1012658227849,4.809063268111915,0.11003803920497952,FANCJKO,parallel
5,-1797.4683544303798,4.8197086052469515,0.1130915493349275,FANCJKO,parallel
6,-1746.8354430379748,4.838294010318071,0.11717706599968676,FANCJKO,parallel
7,-1696.2025316455697,4.88363855683521,0.11897195667604393,FANCJKO,parallel
8,-1645.5696202531644,4.9200702230588655,0.11766696522346226,FANCJKO,parallel
9,-1594.9367088607596,4.954312590536537,0.11658785258189325,FANCJKO,parallel
10,-1544.3037974683543,4.973647171679535,0.11578888748981618,FANCJKO,parallel
11,-1493.6708860759495,4.998087275757635,0.11802913680914012,FANCJKO,parallel
12,-1443.0379746835442,5.016963047649812,0.12116324279598951,FANCJKO,parallel
13,-1392.4050632911392,5.054433066686532,0.12582268114099807,FANCJKO,parallel
14,-1341.7721518987341,5.119087033346797,0.13518747446652266,FANCJKO,parallel
15,-1291.139240506329,5.166450502722238,0.14183255089704327,FANCJKO,parallel
16,-1240.506329113924,5.190000591635677,0.14530084872061094,FANCJKO,parallel
17,-1189.873417721519,5.179693142493404,0.143588253573929,FANCJKO,parallel
18,-1139.240506329114,5.174823004856897,0.14042073093212687,FANCJKO,parallel
19,-1088.607594936709,5.241630223965865,0.14139386608004512,FANCJKO,parallel
20,-1037.9746835443038,5.316867253015553,0.14071241722834496,FANCJKO,parallel
21,-987.3417721518988,5.361089688115776,0.14092199497539598,FANCJKO,parallel
22,-936.7088607594937,5.3526553873794125,0.1392610750116388,FANCJKO,parallel
23,-886.0759493670887,5.3234239766066676,0.13492291049868385,FANCJKO,parallel
24,-835.4430379746836,5.306021884080869,0.12971167083211438,FANCJKO,parallel
25,-784.8101265822784,5.321701574532395,0.12770346624797302,FANCJKO,parallel
26,-734.1772151898733,5.366123641602209,0.12905963350810806,FANCJKO,parallel
27,-683.5443037974683,5.438633734747186,0.1299926224900093,FANCJKO,parallel
28,-632.9113924050632,5.501788100003927,0.12983884531389914,FANCJKO,parallel
29,-582.2784810126582,5.565840535478112,0.13187052535044694,FANCJKO,parallel
30,-531.6455696202531,5.657872289087131,0.1361879697364544,FANCJKO,parallel
31,-481.0126582278481,5.764814241252724,0.14266853495275308,FANCJKO,parallel
32,-430.37974683544303,5.942482182274498,0.15248967753689982,FANCJKO,parallel
33,-379.746835443038,6.113002682978454,0.15892040818437492,FANCJKO,parallel
34,-329.11392405063293,6.34394459590038,0.16766025198442217,FANCJKO,parallel
35,-278.4810126582279,6.607517266194833,0.1802357567004861,FANCJKO,parallel
36,-227.84810126582283,6.921245304623567,0.19787784780794346,FANCJKO,parallel
37,-177.21518987341778,7.237887047763873,0.2168774093876243,FANCJKO,parallel
38,-126.58227848101274,7.533484580964166,0.23235740775828848,FANCJKO,parallel
39,-75.94936708860769,7.738981603580467,0.23870649584407486,FANCJKO,parallel
40,-25.316455696202638,7.743116685141992,0.23417640544813623,FANCJKO,parallel
41,25.31645569620241,7.604952664092711,0.21892672066411759,FANCJKO,parallel
42,75.94936708860769,7.408547882382473,0.20152740454006168,FANCJKO,parallel
43,126.58227848101251,7.20958639468783,0.1865940496087853,FANCJKO,parallel
44,177.21518987341778,7.077483102929213,0.1780260745168829,FANCJKO,parallel
45,227.8481012658226,6.876775962095017,0.17034163752603818,FANCJKO,parallel
